Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Willson Contreras","BOS",6,28,1,4,6,0,0.178571428,0.285714285,0.238095238,0.5,0.333333333,0.5,0.571428571,0.47790776406015667,0.45633513373988016,205.32170179490086,-0.05731543153524399,3.346009500224834,0.4833678901195526,0.497835059241884,"Willson Contreras",11609,575929
"Oneil Cruz","PIT",6,27,1,3,5,5,0.074074074,0.185185185,0.25,0.5,0.416666666,0.481481481,0.666666666,0.49636810559492844,0.41014958115724415,213.91135768663773,1.0361915081739426,4.69591580322537,-0.8200659919530153,0.4815073831302756,"Oneil Cruz",21711,665833
"Taylor Ward","BAL",6,27,0,3,3,0,0.111111111,0.222222222,0.291666667,0.555555555,0.416666666,0.481481481,0.708333333,0.5155798086413631,0.384392813399986,236.54034414374826,-0.36025408282876015,3.894282608225488,-0.20226748287677765,0.4799939628831829,"Taylor Ward",17548,621493
"Jeff McNeil","ATH",6,23,0,4,3,0,0.130434782,0.130434782,0.1,0.588235294,0.5,0.565217391,0.6,0.5217764636744624,0.4083741747814676,236.41664874536727,-0.08684857550542802,3.5341030961732516,-0.06447066063992679,0.44209771337463694,"Jeff McNeil",15362,643446
"Matt Chapman","SFG",6,25,0,4,4,0,0.08,0.2,0.173913044,0.611111111,0.478260869,0.52,0.652173913,0.517150411605835,0.4010561680793762,231.78276286282068,-0.3667688360437751,3.553503102305642,-0.10853270534425974,0.43112746936610286,"Matt Chapman",16505,656305
"Luis Campusano","SDP",4,11,1,3,3,0,0.09090909,0.272727272,0.6,0.666666666,0.5,0.545454545,1.1,0.6920764175328341,0.5646201968193054,347.97285586609894,-0.07304781395941973,3.172697252926994,0.5697331954725087,0.4175446617206882,"Luis Campusano",22217,669134
"Shohei Ohtani","LAD",6,30,3,4,5,0,0.133333333,0.266666666,0.416666667,0.357142857,0.333333333,0.433333333,0.75,0.4796385679926191,0.46511039563587736,205.29005833104165,-0.05221449030796066,3.7063862744250526,-0.6647673100233078,0.4055751364522323,"Shohei Ohtani",19755,660271
"Bobby Witt Jr.","KCR",7,31,0,0,2,5,0.096774193,0.129032258,0.107142857,0.333333333,0.285714285,0.354838709,0.392857142,0.32845468719800314,0.36984679823120437,105.3319866133231,0.6151893050409853,0.8059453284225702,2.0050733163952827,0.4049833304262762,"Bobby Witt Jr.",25764,677951
"Yordan Alvarez","HOU",6,29,3,3,6,0,0.137931034,0.103448275,0.416666667,0.222222222,0.291666666,0.413793103,0.708333333,0.47255360441548483,0.49304618154253277,206.52997966571795,-0.043007139465771616,3.5223033596757416,-0.6711837342008948,0.4015166876538051,"Yordan Alvarez",19556,670541
"Jorge Soler","LAA",6,25,3,6,9,0,0.08,0.24,0.476190476,0.333333333,0.333333333,0.44,0.809523809,0.5305399012565613,0.5156711149215698,244.01230624511433,-0.10801417240872979,4.046948534126763,-1.0803229287266731,0.3981960012673158,"Jorge Soler",14221,624585
"Andy Pages","LAD",6,25,1,3,7,1,0.12,0.4,0.272727273,0.636363636,0.363636363,0.44,0.636363636,0.4706137228012085,0.3236242341995239,199.36410516717552,-0.23519530124031007,2.720686824038581,0.2992948405444622,0.3876391074929755,"Andy Pages",24816,681624
"Brandon Nimmo","TEX",6,25,2,3,3,0,0.08,0.16,0.347826087,0.352941176,0.347826086,0.4,0.695652173,0.46494445701440174,0.3773000929504633,202.21917267003622,-0.05243759648874402,2.896732939076658,-0.11024907976388931,0.3797624079848278,"Brandon Nimmo",12927,607043
"Ben Rice","NYY",6,23,2,4,4,1,0.304347826,0.260869565,0.4375,0.375,0.3125,0.52173913,0.75,0.5273871367627924,0.48582781986756757,244.21402782392707,-0.24773535691201687,3.5801846948646388,-0.7510934351012111,0.3765522428144402,"Ben Rice",29576,700250
"Max Muncy","LAD",5,24,3,6,3,0,0.125,0.25,0.428571429,0.25,0.285714285,0.375,0.714285714,0.45577159912689874,0.41801756102105847,189.61837237278053,-0.07546658115461469,2.48386096238539,0.4550619274377823,0.37620011898166045,"Max Muncy",13301,571970
"Nick Yorke","PIT",5,21,0,2,0,0,0.095238095,0.19047619,0.111111111,0.571428571,0.444444444,0.523809523,0.555555555,0.4863405284427461,0.40195670865830924,207.32698407240198,0.06612299894914031,2.748042864544478,0.2008202187716961,0.36778412889089984,"Nick Yorke",27504,694377
"Xander Bogaerts","SDP",6,28,2,4,5,2,0.071428571,0.107142857,0.269230769,0.333333333,0.346153846,0.392857142,0.615384615,0.4427154617650168,0.4321572855114937,184.23582620675577,-0.057265505194664,2.749282324955674,-0.06566993147134781,0.36265217470296934,"Xander Bogaerts",12161,593428
"Corbin Carroll","ARI",4,18,0,5,3,1,0.055555555,0.222222222,0.352941177,0.538461538,0.411764705,0.444444444,0.764705882,0.517077859905031,0.48390011654959786,228.39834616750346,0.3999630641192198,3.150069558950667,-0.17565838992595673,0.36096526741328466,"Corbin Carroll",25878,682998
"Javier Báez","DET",5,19,1,3,2,0,0,0.157894736,0.352941177,0.428571428,0.411764705,0.421052631,0.764705882,0.49813375661247655,0.4258782612650018,223.01172850639412,-0.3635162841528654,2.333773689739111,0.3598030898720026,0.3475450669431108,"Javier Baez",12979,595879
"Mickey Moniak","COL",7,27,5,5,9,0,0.037037037,0.222222222,0.6,0.2,0.32,0.333333333,0.92,0.5182013533733509,0.4344889591103075,216.62048108226486,0.13779949862509966,3.8845620391212297,-1.375464329496026,0.3416500046660034,"Mickey Moniak",19956,666160
"CJ Abrams","WSN",6,25,1,3,3,3,0.12,0.12,0.19047619,0.352941176,0.333333333,0.44,0.523809523,0.4332416892051697,0.45589170932769774,174.3414727007352,0.40076950332149863,2.6122786791280093,-0.1276375949382782,0.3328586318901805,"CJ Abrams",25768,682928
"Matt Olson","ATL",6,28,2,5,4,0,0.214285714,0.285714285,0.363636363,0.25,0.227272727,0.392857142,0.59090909,0.4175927087112709,0.34918555175816574,163.58086440154776,-0.04370244435267523,2.0746686224575583,0.31706634163856506,0.3327848622196531,"Matt Olson",14344,621566
"Carlos Correa","HOU",4,20,0,6,2,1,0.1,0.15,0.111111112,0.466666666,0.388888888,0.45,0.5,0.42799146473407745,0.46872020363807676,176.3600324683504,0.10892082331702113,1.8713984640032253,0.6171588581055403,0.3303508338628104,"Carlos Correa",14162,621043
"Teoscar Hernández","LAD",6,27,3,6,9,1,0.074074074,0.222222222,0.416666667,0.25,0.291666666,0.333333333,0.708333333,0.4361688185621191,0.37245941355272577,176.74666576234583,0.31962847663089633,2.7853320110168807,-0.4603408221155405,0.3228107028529046,"Teoscar Hernandez",13066,606192
"Daulton Varsho","TOR",6,25,2,4,4,1,0.12,0.12,0.363636364,0.235294117,0.272727272,0.36,0.636363636,0.4304763603210449,0.3578642416000366,178.07108051589321,0.31222893623635173,2.5646921906637554,-0.35290667973458767,0.3209545200614715,"Daulton Varsho",19918,662139
"Bryce Harper","PHI",6,25,1,3,5,1,0.2,0.12,0.3,0.4375,0.4,0.52,0.7,0.5275315713882446,0.5308003878593445,234.64384041811198,-0.20763308508321643,3.797750151662071,-1.452152892947197,0.3186305177361057,"Bryce Harper",11579,547180
"Otto Lopez","MIA",6,24,0,2,2,1,0.083333333,0.041666666,0.136363637,0.38095238,0.363636363,0.416666666,0.5,0.41056835899750393,0.41151683529218036,158.1088975283831,0.31574753718450665,1.9752253655756935,0.3619329808279872,0.31462259413719734,"Otto Lopez",19608,672640
"Luis Robert Jr.","NYM",6,26,1,5,1,2,0.153846153,0.307692307,0.136363637,0.538461538,0.363636363,0.461538461,0.5,0.4355745567725255,0.34291569659343135,179.11461131160044,0.25759940641000867,2.7052398660320747,-0.46374744549393654,0.3111220340166645,"Luis Robert Jr.",20043,673357
"Willy Adames","SFG",6,26,1,5,2,0,0.076923076,0.115384615,0.375,0.35,0.333333333,0.384615384,0.708333333,0.46945183322979855,0.3945539906047858,200.46260883863746,-0.3320775809697807,2.776025233365591,-0.5404810085892677,0.310513365433066,"Willy Adames",15986,642715
"Spencer Torkelson","DET",7,25,0,1,2,0,0.36,0.16,0.066666667,0.454545454,0.333333333,0.6,0.4,0.48319789409637454,0.5613401913642884,212.8996875074753,-0.17685303464531898,3.080465755699274,-0.9745672754943371,0.3101192833622855,"Spencer Torkelson",27465,679529
"Nick Kurtz","ATH",6,29,0,4,2,1,0.24137931,0.310344827,0.090909091,0.538461538,0.318181818,0.48275862,0.409090909,0.4178343045300451,0.3830142719992276,166.0445913130389,0.010848155245184898,2.2212069252249718,-0.2732553444802761,0.3090970638636297,"Nick Kurtz",35110,701762
"Luis Arraez","SFG",6,25,0,3,3,0,0.12,0.04,0.1,0.35,0.35,0.416666666,0.45,0.38470444083213806,0.42398357888062793,144.8152190544561,0.1434015459381044,1.4765641072136535,0.7627196190878749,0.3077516378568007,"Luis Arraez",18568,650333
"Vladimir Guerrero Jr.","TOR",6,25,0,3,1,1,0.12,0.12,0.136363637,0.421052631,0.363636363,0.44,0.5,0.4226045489311218,0.4462642455101013,172.74162067218865,-0.04060692712664604,2.058093725520868,-0.06992719322443008,0.29807197677601344,"Vladimir Guerrero Jr.",19611,665489
"William Contreras","MIL",5,22,1,3,4,0,0.136363636,0.136363636,0.210526316,0.333333333,0.315789473,0.409090909,0.526315789,0.41716911034150556,0.3367548259821805,164.5134383252949,-0.04536235990235582,1.6434851831954749,0.5321805151179433,0.29180856219694207,"William Contreras",20503,661388
"Austin Martin","MIN",7,22,0,5,0,1,0.227272727,0.136363636,0.0625,0.461538461,0.375,0.545454545,0.4375,0.4610866822979667,0.4004407674074173,197.41597794749643,-0.7339735091663897,1.7393469592884485,0.17467163316905499,0.2791293862079059,"Austin Martin",27462,668885
"Zach Neto","LAA",6,29,2,6,4,0,0.068965517,0.310344827,0.296296296,0.375,0.296296296,0.344827586,0.592592592,0.39852382029805866,0.3676857809935297,154.63333521282328,-0.1665537622757256,1.6618968227015254,-0.028760265558958054,0.2768825870399983,"Zach Neto",31347,687263
"Connor Norby","MIA",6,22,1,2,2,0,0.227272727,0.136363636,0.3125,0.307692307,0.3125,0.454545454,0.625,0.4579442631114613,0.3329550021074035,189.21717505787754,0.0708533157594502,2.4064009289386408,-0.394511753693223,0.27504959387878153,"Connor Norby",29592,681393
"Amed Rosario","NYY",5,19,2,2,5,0,0.105263157,0.263157894,0.470588235,0.3,0.294117647,0.368421052,0.764705882,0.4790625258495933,0.4348633642259397,211.49677120187022,-0.09181907214224339,2.3529813280773175,-0.3858428029343486,0.2732098968975442,"Amed Rosario",15518,642708
"Cal Raleigh","SEA",6,27,2,4,6,0,0.148148148,0.148148148,0.318181819,0.117647058,0.181818181,0.296296296,0.5,0.3433229150595488,0.3825854813611066,125.07005325042175,-0.04572402988560498,0.7354477334454668,0.920793361030519,0.27167672762129924,"Cal Raleigh",21534,663728
"Justin Crawford","PHI",6,19,0,3,0,0,0.157894736,0.210526315,0.266666666,0.545454545,0.4,0.526315789,0.666666666,0.5176022460586146,0.35796278832774414,228.12398156134418,-0.5509734177030623,2.3457138072507253,-0.2794136516749859,0.27118422248311225,"Justin Crawford",31791,702222
"Masataka Yoshida","BOS",3,13,0,2,3,1,0.153846153,0.076923076,0.2,0.555555555,0.5,0.615384615,0.7,0.5756611411388104,0.43616084869091326,271.50376230439286,0.17952044866979122,2.752548494620667,-0.607433095574379,0.26871164227506267,"Masataka Yoshida",31837,807799
"Curtis Mead","WSN",5,18,1,3,3,1,0.166666666,0.111111111,0.266666667,0.333333333,0.333333333,0.444444444,0.6,0.45932601888974506,0.44025589360131157,191.46913669310516,0.14774118456989527,2.1068775317637427,-0.03952708840370178,0.2681473123163247,"Curtis Mead",23986,678554
"Tyler Soderstrom","ATH",6,28,2,5,10,1,0.071428571,0.178571428,0.346153846,0.263157894,0.269230769,0.321428571,0.615384615,0.4037804071392332,0.4188001464520182,156.5296679895764,0.18460718938149512,2.0112851216057104,-0.4450550954788923,0.26625110407083097,"Tyler Soderstrom",27467,691016
"Wilyer Abreu","BOS",6,26,0,4,3,0,0.076923076,0.192307692,0.125,0.421052631,0.333333333,0.384615384,0.458333333,0.3775094151496887,0.3869770811154292,137.34891352693782,0.0621824748814106,1.1828552892776643,0.4135347306728363,0.2617672173108224,"Wilyer Abreu",23772,677800
"Willi Castro","COL",6,21,1,4,4,1,0.095238095,0.428571428,0.157894737,0.666666666,0.368421052,0.428571428,0.526315789,0.42819715113866896,0.3259239934739612,157.5213302733971,-0.28567031829152256,1.1516904692959347,0.7370128619950265,0.25929981524478285,"Willi Castro",17338,650489
"Hyeseong Kim","LAD",5,15,0,3,1,1,0.2,0.266666666,0.090909091,0.5,0.363636363,0.466666666,0.454545454,0.41051912705103555,0.3761737366517385,159.90439674404064,0.03396421018987894,1.1031853455087877,0.9242384452372789,0.2546285341190757,"Hyeseong Kim",35322,808975
"Mauricio Dubón","ATL",6,25,1,4,3,0,0,0.16,0.28,0.3,0.28,0.28,0.56,0.3642012357711792,0.3249600040912628,128.52260453311933,-0.04787022480741143,0.8006198487860596,0.8947672359645367,0.2520956353153293,"Mauricio Dubon",16530,643289
"Casey Schmitt","SFG",3,13,0,3,1,0,0.076923076,0.461538461,0.333333334,0.833333333,0.416666666,0.461538461,0.75,0.5228131138361417,0.4020155393160306,235.5010436184458,-0.08327846694737673,2.01278085245733,0.0015053600072860718,0.24699541985975124,"Casey Schmitt",27577,669477
"Ryan Jeffers","MIN",5,21,1,3,7,0,0.142857142,0.142857142,0.235294117,0.307692307,0.294117647,0.428571428,0.529411764,0.42911133595875334,0.3792520534424555,175.76767924441364,0.006519676651805639,1.8427653938184114,-0.22256560623645782,0.24527836274917014,"Ryan Jeffers",24618,680777
"Richie Palacios","TBR",2,8,1,2,2,1,0.25,0.125,0.5,0.5,0.5,0.625,1,0.6690914779901505,0.4630504995584488,338.1157615523724,0.20016083307564259,2.3985554228368238,-0.2990976981818676,0.24511430453038344,"Richie Palacios",24589,680700
"Thomas Saggese","STL",6,21,0,3,2,0,0.095238095,0.19047619,0.105263158,0.466666666,0.368421052,0.428571428,0.47368421,0.40761091879435946,0.31620971361796063,159.61381045281962,-0.46878373716026545,1.020864592186234,0.718443809542805,0.24401249051398166,"Thomas Saggese",27883,695336
"Bo Bichette","NYM",6,27,1,2,3,0,0.148148148,0.185185185,0.130434782,0.352941176,0.304347826,0.407407407,0.434782608,0.3857439403180723,0.34143733978271484,146.39450443190435,-0.23535026516765356,1.2552043070409842,0.2966631003655493,0.24369828357954973,"Bo Bichette",19612,666182
"Steven Kwan","CLE",7,32,1,5,2,1,0.09375,0.125,0.148148148,0.272727272,0.259259259,0.354838709,0.407407407,0.3493884590364272,0.30017074173496616,123.76047420864373,0.10104804811999202,0.9785186970161788,0.17873072810471058,0.2395410401108053,"Steven Kwan",24610,680757
"Will Smith","LAD",5,20,0,4,2,0,0.25,0.15,0,0.416666666,0.333333333,0.5,0.333333333,0.4053312987089157,0.31785049811005595,156.49793080190582,-0.10291126486845315,1.2416485114541957,0.4673162307590246,0.23776309202268459,"Will Smith",19197,669257
"Carson Kelly","CHC",5,19,0,2,0,0,0.263157894,0.157894736,0.142857143,0.454545454,0.357142857,0.526315789,0.5,0.4670812864052622,0.44168473231165034,198.31221213439088,-0.09315853659063578,2.1295301862874285,-0.3960868250578642,0.23712356246643893,"Carson Kelly",13620,608348
"Ceddanne Rafaela","BOS",6,18,0,3,2,0,0.111111111,0.111111111,0.066666666,0.461538461,0.4,0.5,0.466666666,0.4449715382523007,0.43744950327608323,183.02285796451397,0.08819580078125,1.8128328064042414,-0.18997792899608612,0.2341948933590249,"Ceddanne Rafaela",24262,678882
"Ramón Urías","STL",6,17,1,4,3,0,0.117647058,0.117647058,0.333333333,0.333333333,0.333333333,0.411764705,0.666666666,0.4670796744963702,0.45725905544617595,198.66257567030146,-0.051482281531207263,1.944326582139102,-0.20556614315137267,0.2313788812382763,"Ramon Urias",18795,602104
"Gabriel Moreno","ARI",5,14,0,2,3,0,0.071428571,0.285714285,0.272727273,0.5,0.363636363,0.428571428,0.636363636,0.44615920526640757,0.40506349025028093,181.83127305772175,-0.04361223615705967,1.3196045338362852,0.4871793547645211,0.2289064502785626,"Gabriel Moreno",22664,672515
"Sal Stewart","CIN",7,30,2,4,5,3,0.2,0.133333333,0.304347826,0.166666666,0.217391304,0.366666666,0.52173913,0.3755532379808097,0.4097934468039151,131.6207329645932,0.6464112983085215,1.7751950884025867,-0.49890935444273055,0.2249316405118052,"Sal Stewart",31505,701398
"Josh Bell","MIN",7,25,1,3,5,0,0.08,0.16,0.173913044,0.388888888,0.347826086,0.4,0.52173913,0.41143805980682374,0.33513341409464675,163.80232452580532,-0.17839405871927738,1.6623950092912867,-0.4441611934453249,0.21928609366899854,"Josh Bell",13145,605137
"Francisco Alvarez","NYM",6,23,1,2,1,0,0.130434782,0.173913043,0.157894737,0.357142857,0.315789473,0.409090909,0.47368421,0.3997164178978313,0.40766389803452924,155.56920449209224,-0.051211955898907036,1.469614267594643,-0.07367406319826841,0.21516498540958023,"Francisco Alvarez",26121,682626
"José Ramírez","CLE",7,31,1,3,2,2,0.193548387,0.129032258,0.16,0.15,0.16,0.322580645,0.32,0.30620759917843726,0.3896842541233186,94.52569618482201,0.4471990056335926,0.2513514721914247,0.6540942346327938,0.20998934778738648,"Jose Ramirez",13510,608070
"Freddie Freeman","LAD",6,28,1,4,4,0,0.107142857,0.142857142,0.16,0.3,0.28,0.357142857,0.44,0.36027044696467264,0.4043073526450566,126.90977817470683,-0.07461824920028448,0.8219548948759511,0.3581831306219101,0.2088042432153173,"Freddie Freeman",5361,518692
"Ramón Laureano","SDP",7,29,1,5,4,2,0.103448275,0.24137931,0.192307693,0.277777777,0.23076923,0.310344827,0.423076923,0.32971309176806746,0.3132277973766985,110.03546733022576,0.32569349429104477,0.6719940401710606,0.4681594781577587,0.2078570820577291,"Ramon Laureano",17128,657656
"Ildemaro Vargas","ARI",5,21,0,4,3,0,0.095238095,0.19047619,0.157894737,0.466666666,0.368421052,0.428571428,0.526315789,0.42406631935210454,0.36911448410579134,167.32449710688303,0.15298588247969747,1.8353112342324482,-0.4502538591623306,0.2077625957107582,"Ildemaro Vargas",13324,545121
"Carter Jensen","KCR",6,19,3,4,3,0,0.052631578,0.368421052,0.5,0.125,0.222222222,0.263157894,0.722222222,0.4185036577676472,0.4058527409246093,166.29792556254682,-0.001977639680262655,1.451743335392443,-0.1264834003522992,0.20752757104201003,"Carter Jensen",29478,695600
"Fernando Tatis Jr.","SDP",7,34,0,3,4,2,0.117647058,0.235294117,0.074074074,0.333333333,0.259259259,0.333333333,0.333333333,0.30250834876840765,0.43072145093571057,92.17211018317639,0.13209059601649642,-0.18460439748251917,1.156644944101572,0.20637629394615584,"Fernando Tatis Jr.",19709,665487
"Carlos Cortes","ATH",5,16,1,3,5,0,0.1875,0,0.307692308,0.25,0.307692307,0.4375,0.615384615,0.45987601578235626,0.3329737350344658,194.50813048861423,-0.02279864758020267,1.7222866957847396,-0.3739323695190251,0.1985356200098113,"Carlos Cortes",21842,666126
"Juan Brito","CLE",4,16,0,2,1,0,0.125,0.0625,0.142857143,0.384615384,0.357142857,0.4375,0.5,0.4212578199803829,0.3887127451598644,172.41825501292516,-0.05059510516002774,1.2866023905659667,-0.05010120943188667,0.187089881143018,"Juan Brito",26693,682877
"Spencer Horwitz","PIT",5,17,0,2,0,0,0.235294117,0.058823529,0,0.416666666,0.384615384,0.529411764,0.384615384,0.43500899216708017,0.33592987586470213,173.62133335515725,-0.09739772789180279,1.3918610783698118,-0.12459868751466274,0.1831313015320715,"Spencer Horwitz",26477,687462
"Griffin Conine","MIA",4,9,1,3,2,1,0.111111111,0.222222222,0.428571429,0.25,0.285714285,0.444444444,0.714285714,0.49720848268932766,0.6093210114373101,214.99910497459703,0.21643560752272606,1.4479926911235634,0.0515461815521121,0.18174467775127023,"Griffin Conine",21626,665052
"Ronald Acuña Jr.","ATL",6,28,1,3,2,0,0.035714285,0.214285714,0.259259259,0.35,0.296296296,0.321428571,0.555555555,0.3817128666809627,0.44307864138058256,140.0212067133599,0.03486955678090453,1.368285941701103,-0.4608040973544121,0.18090380781673543,"Ronald Acuna Jr.",18401,660670
"Christian Yelich","MIL",6,23,0,3,3,2,0.130434782,0.217391304,0.2,0.4,0.3,0.391304347,0.5,0.380886356938969,0.30733654309402814,140.68921832380704,0.47120163030922413,1.5847901872428765,-0.5386027183267288,0.1793753929618922,"Christian Yelich",11477,592885
"Jeremiah Jackson","BAL",6,19,1,2,3,0,0,0.157894736,0.222222222,0.357142857,0.333333333,0.368421052,0.555555555,0.409830043190404,0.36953816811243695,164.94448131940123,-0.4915774925611913,0.9324663807295595,0.11529926303774118,0.1791320602032491,"Jeremiah Jackson",22239,669236
"Cole Young","SEA",6,24,1,6,3,0,0.166666666,0.166666666,0.15,0.266666666,0.25,0.375,0.4,0.3581409255663554,0.4034920074045658,135.1023047930226,-0.41281719878315926,0.5594248289016304,0.27363213524222374,0.17608655930226408,"Cole Young",31680,702284
"Jackson Merrill","SDP",7,34,1,6,6,2,0.117647058,0.147058823,0.166666666,0.208333333,0.2,0.294117647,0.366666666,0.28974786852345324,0.3824426107334368,83.79323977861718,0.45170317497104406,-0.20397797832265852,0.877209696918726,0.17579970342991513,"Jackson Merrill",29490,701538
"Austin Riley","ATL",6,25,0,5,2,1,0.2,0.12,0.05,0.294117647,0.25,0.4,0.3,0.33962340831756593,0.39464040234684944,112.38414993687711,0.24279610579833388,0.6111996391829566,0.33209176920354366,0.17513498566728392,"Austin Riley",18360,663586
"Leo Rivas","SEA",4,16,0,2,2,0,0.375,0.25,0,0.333333333,0.2,0.5,0.2,0.38053392618894577,0.3648882508277893,150.2630589938817,0.1122683584690094,1.0403718677589069,0.06790511310100555,0.1739689205208169,"Leo Rivas",21009,660844
"Jo Adell","LAA",6,27,1,3,3,1,0,0.185185185,0.115384615,0.4,0.346153846,0.37037037,0.461538461,0.37527288330925834,0.4662572007912856,138.8917315497904,0.05943070212379098,1.2712798438178685,-0.5833086669445038,0.17259534178803995,"Jo Adell",20220,666176
"Yoán Moncada","LAA",5,19,0,3,2,0,0.315789473,0.368421052,0.166666667,0.4,0.166666666,0.47368421,0.333333333,0.39797553576921163,0.3170473105029056,154.26212962434138,-0.09906175034120679,1.0907491723640623,-0.11264716857112944,0.17200350042320406,"Yoan Moncada",17232,660162
"Jake Meyers","HOU",4,12,1,1,1,0,0.083333333,0.083333333,0.363636364,0.333333333,0.363636363,0.416666666,0.727272727,0.4945891698201497,0.45051682492097217,221.44873916595475,-0.3748391750268638,1.3070670291768516,-0.0711307292804122,0.17189186430372186,"Jake Meyers",20308,676694
"Daniel Susac","SFG",2,5,0,1,2,0,0,0,0.4,0.6,0.6,0.6,1,0.6918157815933228,0.356999996304512,346.47268606286826,-0.057426788844168186,1.408986471511704,0.09034152200911194,0.16914556165590644,"Daniel Susac",31441,691740
"Randy Arozarena","SEA",6,24,1,3,4,2,0.125,0.333333333,0.157894737,0.3,0.210526315,0.375,0.368421052,0.3525415187080701,0.3885825046260531,131.31133311933678,0.3580501773394644,1.225292205489964,-0.4607296921312809,0.16907764062958064,"Randy Arozarena",19290,668227
"Matt Shaw","CHC",7,23,2,2,3,0,0.086956521,0.217391304,0.35,0.23076923,0.25,0.318181818,0.6,0.3980283899740739,0.3884729058481753,152.97024544115823,-0.35313357855193317,1.0965639484887304,-0.15193827357143164,0.16898275025536977,"Matt Shaw",33322,807713
"JJ Wetherholt","STL",6,29,0,3,1,1,0.206896551,0.172413793,0.043478261,0.222222222,0.173913043,0.344827586,0.217391304,0.28593814578549615,0.27583489746883,79.72023456583638,0.08464096067473292,-0.6151663934897631,1.3358068373054266,0.16492903478259568,"JJ Wetherholt",34985,802139
"Christian Walker","HOU",6,25,2,4,4,0,0.12,0.08,0.272727273,0.222222222,0.272727272,0.36,0.545454545,0.386771559715271,0.289683498442173,148.45288153733793,0.02911359304562211,1.4270490963432865,-0.7438091151416302,0.16454109995892668,"Christian Walker",13419,572233
"Brent Rooker","ATH",4,16,2,2,7,2,0.1875,0.1875,0.545454546,0,0.181818181,0.3125,0.727272727,0.3971613869071007,0.5081737120946248,152.0483865176936,0.3786876901976939,1.3397571345748953,-0.337727469712263,0.16309681645283214,"Brent Rooker",19627,667670
"Manny Machado","SDP",6,28,2,6,7,1,0.142857142,0.214285714,0.260869565,0.1875,0.217391304,0.321428571,0.478260869,0.33644957233358314,0.3503557796831484,114.4588194735439,0.19983390718698502,0.6815691764583817,0.05020546354353428,0.1629239935202504,"Manny Machado",11493,592518
